Sex,Age Group,Year,Citizen category,Ethnic,Population ('000)
Male,00-04,2010,Malaysian citizens,Bumiputera,942.03
Male,00-04,2010,Malaysian citizens,Chinese,223.155
Male,00-04,2010,Malaysian citizens,Indians,76.216
Male,00-04,2010,Malaysian citizens,Others,18.894
Male,00-04,2010,Non-Malaysian citizens,Foreigner,27.892
Male,9-May,2010,Malaysian citizens,Bumiputera,978.715
Male,9-May,2010,Malaysian citizens,Chinese,255.267
Male,9-May,2010,Malaysian citizens,Indians,86.434
Male,9-May,2010,Malaysian citizens,Others,15.979
Male,9-May,2010,Non-Malaysian citizens,Foreigner,28.141
Male,14-Oct,2010,Malaysian citizens,Bumiputera,961.801
Male,14-Oct,2010,Malaysian citizens,Chinese,267.983
Male,14-Oct,2010,Malaysian citizens,Indians,89.593
Male,14-Oct,2010,Malaysian citizens,Others,14.127
Male,14-Oct,2010,Non-Malaysian citizens,Foreigner,24.848
Male,15-19,2010,Malaysian citizens,Bumiputera,953.138
Male,15-19,2010,Malaysian citizens,Chinese,282.891
Male,15-19,2010,Malaysian citizens,Indians,91.699
Male,15-19,2010,Malaysian citizens,Others,13.313
Male,15-19,2010,Non-Malaysian citizens,Foreigner,112.721
Male,20-24,2010,Malaysian citizens,Bumiputera,862.558
Male,20-24,2010,Malaysian citizens,Chinese,270.084
Male,20-24,2010,Malaysian citizens,Indians,94.535
Male,20-24,2010,Malaysian citizens,Others,12.052
Male,20-24,2010,Non-Malaysian citizens,Foreigner,264.763
Male,25-29,2010,Malaysian citizens,Bumiputera,783.147
Male,25-29,2010,Malaysian citizens,Chinese,270.034
Male,25-29,2010,Malaysian citizens,Indians,90.177
Male,25-29,2010,Malaysian citizens,Others,9.857
Male,25-29,2010,Non-Malaysian citizens,Foreigner,325.659
Male,30-34,2010,Malaysian citizens,Bumiputera,608.821
Male,30-34,2010,Malaysian citizens,Chinese,252.502
Male,30-34,2010,Malaysian citizens,Indians,76.734
Male,30-34,2010,Malaysian citizens,Others,5.953
Male,30-34,2010,Non-Malaysian citizens,Foreigner,218.368
Male,35-39,2010,Malaysian citizens,Bumiputera,545.737
Male,35-39,2010,Malaysian citizens,Chinese,243.167
Male,35-39,2010,Malaysian citizens,Indians,67.564
Male,35-39,2010,Malaysian citizens,Others,4.844
Male,35-39,2010,Non-Malaysian citizens,Foreigner,152.391
Male,40-44,2010,Malaysian citizens,Bumiputera,506.044
Male,40-44,2010,Malaysian citizens,Chinese,234.761
Male,40-44,2010,Malaysian citizens,Indians,63.132
Male,40-44,2010,Malaysian citizens,Others,4.945
Male,40-44,2010,Non-Malaysian citizens,Foreigner,99.516
Male,45-49,2010,Malaysian citizens,Bumiputera,474.205
Male,45-49,2010,Malaysian citizens,Chinese,233.582
Male,45-49,2010,Malaysian citizens,Indians,64.029
Male,45-49,2010,Malaysian citizens,Others,4.8
Male,45-49,2010,Non-Malaysian citizens,Foreigner,63.478
Male,50-54,2010,Malaysian citizens,Bumiputera,397.679
Male,50-54,2010,Malaysian citizens,Chinese,209.577
Male,50-54,2010,Malaysian citizens,Indians,54.895
Male,50-54,2010,Malaysian citizens,Others,4.679
Male,50-54,2010,Non-Malaysian citizens,Foreigner,39.824
Male,55-59,2010,Malaysian citizens,Bumiputera,306.608
Male,55-59,2010,Malaysian citizens,Chinese,174.007
Male,55-59,2010,Malaysian citizens,Indians,41.195
Male,55-59,2010,Malaysian citizens,Others,3.495
Male,55-59,2010,Non-Malaysian citizens,Foreigner,21.663
Male,60-64,2010,Malaysian citizens,Bumiputera,225.577
Male,60-64,2010,Malaysian citizens,Chinese,145.432
Male,60-64,2010,Malaysian citizens,Indians,29.758
Male,60-64,2010,Malaysian citizens,Others,2.032
Male,60-64,2010,Non-Malaysian citizens,Foreigner,13.972
Male,65-69,2010,Malaysian citizens,Bumiputera,144.773
Male,65-69,2010,Malaysian citizens,Chinese,100.128
Male,65-69,2010,Malaysian citizens,Indians,15.623
Male,65-69,2010,Malaysian citizens,Others,1.483
Male,65-69,2010,Non-Malaysian citizens,Foreigner,8.416
Male,70-74,2010,Malaysian citizens,Bumiputera,105.979
Male,70-74,2010,Malaysian citizens,Chinese,76.545
Male,70-74,2010,Malaysian citizens,Indians,11.48
Male,70-74,2010,Malaysian citizens,Others,0.993
Male,70-74,2010,Non-Malaysian citizens,Foreigner,5.66
Male,75-79,2010,Malaysian citizens,Bumiputera,58.648
Male,75-79,2010,Malaysian citizens,Chinese,40.274
Male,75-79,2010,Malaysian citizens,Indians,6.945
Male,75-79,2010,Malaysian citizens,Others,0.662
Male,75-79,2010,Non-Malaysian citizens,Foreigner,3.43
Male,80+,2010,Malaysian citizens,Bumiputera,59.767
Male,80+,2010,Malaysian citizens,Chinese,34.556
Male,80+,2010,Malaysian citizens,Indians,6.197
Male,80+,2010,Malaysian citizens,Others,0.752
Male,80+,2010,Non-Malaysian citizens,Foreigner,5.562
Female,00-04,2010,Malaysian citizens,Bumiputera,894.207
Female,00-04,2010,Malaysian citizens,Chinese,209.632
Female,00-04,2010,Malaysian citizens,Indians,73.012
Female,00-04,2010,Malaysian citizens,Others,17.375
Female,00-04,2010,Non-Malaysian citizens,Foreigner,26.181
Female,9-May,2010,Malaysian citizens,Bumiputera,931.24
Female,9-May,2010,Malaysian citizens,Chinese,240.671
Female,9-May,2010,Malaysian citizens,Indians,83.08
Female,9-May,2010,Malaysian citizens,Others,14.807
